,n_cylinders,Engine stroke_ four-stroke,Fuel system_reduced_0,Fuel control_Other,Cooling system_Liquid,Cooling system_Air,Cooling system_Oil & air,Transmission type_Chain,Transmission type_Belt,Transmission type_Shaft drive,n_disks_front,abs,has_front_disk,n_pistons_front,n_disks_rear,has_rear_disk,n_pistons_rear,Category,Rear tire_width,Rear tire_height,Rear tire_diameter,Front tire_width,Front tire_height,Front tire_diameter,reartyre_speed,fronttyre_speed,Rear tire_construction_B,Front tire_construction_B,Rear tire_label_format_I,Rear tire_label_format_N,Rear tire_label_format_A,Front tire_label_format_I,Front tire_label_format_N,Front tire_label_format_A
11889,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1,6.0,1.0,0.0,1.0,Super motard,160.0,96.0,431.79999999999995,120.0,84.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11956,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1.0,1,2.0,1.0,0.0,1.0,Scooter,140.0,98.0,355.59999999999997,120.0,84.0,381.0,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11974,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,1.0,Scooter,80.0,72.0,431.79999999999995,70.0,70.0,431.79999999999995,130.0,130.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11975,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,1.0,Scooter,80.0,72.0,431.79999999999995,70.0,70.0,431.79999999999995,130.0,130.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11980,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,1.0,Allround,120.0,96.0,304.79999999999995,120.0,96.0,304.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11981,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,1.0,Allround,120.0,96.0,304.79999999999995,120.0,96.0,304.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11982,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,1.0,Allround,120.0,96.0,304.79999999999995,120.0,96.0,304.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
12000,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1,1.0,0.0,0.0,1.0,Scooter,90.0,81.0,355.59999999999997,80.0,72.0,355.59999999999997,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
12001,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1,1.0,0.0,0.0,1.0,Scooter,90.0,81.0,355.59999999999997,80.0,72.0,355.59999999999997,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
12002,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1,1.0,0.0,0.0,1.0,Scooter,90.0,81.0,355.59999999999997,80.0,72.0,355.59999999999997,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
12005,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,0.0,1.0,Scooter,110.0,88.0,254.0,90.0,81.0,304.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
